API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-21083-00-00,9/30/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1998 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1997 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/29/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1996 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1995 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1994 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1993 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/29/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1992 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,12/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,11/30/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,10/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,9/30/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,8/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,7/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,6/30/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,5/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,4/30/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,3/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,2/28/1991 12:00:00 AM,Eagle,2356,0,0,0,0
25-005-21083-00-00,1/31/1991 12:00:00 AM,Eagle,2356,0,0,0,0
