API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-21739-00-00,1/31/2000 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,12/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,11/30/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,10/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,9/30/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,8/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,7/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,6/30/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,5/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,4/30/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,3/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,2/28/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,1/31/1999 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,12/31/1998 12:00:00 AM,Dawson Bay,5766,0,0,0,0
25-091-21739-00-00,11/30/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,10/31/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,9/30/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,8/31/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,7/31/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,6/30/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,5/31/1998 12:00:00 AM,Red River,5766,0,0,0,0
25-091-21739-00-00,4/30/1998 12:00:00 AM,Red River,5766,0,0,5635,19
